,time,housing_price,rental_price,inflation_rate,median_house_value,median_tax_paid,property_tax_rate,median_age_homebuyers,housing_starts,interest_rate,mortgage_rate,mortgage_to_income_rate,work_home_rate
158,01/2003,157181.0,203.3,192.4,,,,40.0,1853.0,1.24,5.97,5.871306,
209,01/2004,169666.0,208.3,194.6,151366.0,1485.0,0.981065761,39.0,1911.0,1.0,5.87,5.836053,
210,01/2004,169666.0,208.3,194.6,151366.0,1485.0,0.981065761,39.0,1911.0,1.0,5.66,5.836053,
211,01/2004,169666.0,208.3,194.6,151366.0,1485.0,0.981065761,39.0,1911.0,1.0,5.64,5.836053,
212,01/2004,169666.0,208.3,194.6,151366.0,1485.0,0.981065761,39.0,1911.0,1.0,5.68,5.836053,
264,01/2005,188439.0,214.5,199.0,167500.0,1614.0,0.96358209,40.0,2144.0,2.28,5.66,6.236844,
263,01/2005,188439.0,214.5,199.0,167500.0,1614.0,0.96358209,40.0,2144.0,2.28,5.67,6.236844,
262,01/2005,188439.0,214.5,199.0,167500.0,1614.0,0.96358209,40.0,2144.0,2.28,5.74,6.236844,
261,01/2005,188439.0,214.5,199.0,167500.0,1614.0,0.96358209,40.0,2144.0,2.28,5.77,6.236844,
313,01/2006,210111.0,220.9,203.2,185200.0,1742.0,0.940604752,41.0,2273.0,4.29,6.21,6.52826,
314,01/2006,210111.0,220.9,203.2,185200.0,1742.0,0.940604752,41.0,2273.0,4.29,6.15,6.52826,
315,01/2006,210111.0,220.9,203.2,185200.0,1742.0,0.940604752,41.0,2273.0,4.29,6.1,6.52826,
316,01/2006,210111.0,220.9,203.2,185200.0,1742.0,0.940604752,41.0,2273.0,4.29,6.12,6.52826,
366,01/2007,218505.0,230.806,208.6,194300.0,1838.0,0.945959856,39.0,1409.0,5.25,6.21,6.984662,
365,01/2007,218505.0,230.806,208.6,194300.0,1838.0,0.945959856,39.0,1409.0,5.25,6.18,6.984662,
368,01/2007,218505.0,230.806,208.6,194300.0,1838.0,0.945959856,39.0,1409.0,5.25,6.25,6.984662,
367,01/2007,218505.0,230.806,208.6,194300.0,1838.0,0.945959856,39.0,1409.0,5.25,6.23,6.984662,
420,01/2008,211823.0,239.85,213.771,197600.0,1897.0,0.960020243,39.0,1084.0,3.94,5.48,7.122571,
419,01/2008,211823.0,239.85,213.771,197600.0,1897.0,0.960020243,39.0,1084.0,3.94,5.69,7.122571,
418,01/2008,211823.0,239.85,213.771,197600.0,1897.0,0.960020243,39.0,1084.0,3.94,5.87,7.122571,
417,01/2008,211823.0,239.85,213.771,197600.0,1897.0,0.960020243,39.0,1084.0,3.94,6.07,7.122571,
421,01/2008,211823.0,239.85,213.771,197600.0,1897.0,0.960020243,39.0,1084.0,3.94,5.68,7.122571,
470,01/2009,190584.0,247.974,217.346,185200.0,1917.0,1.035097192,39.0,490.0,0.15,5.01,6.888041,
473,01/2009,190584.0,247.974,217.346,185200.0,1917.0,1.035097192,39.0,490.0,0.15,5.1,6.888041,
472,01/2009,190584.0,247.974,217.346,185200.0,1917.0,1.035097192,39.0,490.0,0.15,5.12,6.888041,
471,01/2009,190584.0,247.974,217.346,185200.0,1917.0,1.035097192,39.0,490.0,0.15,4.96,6.888041,
523,01/2010,179593.0,249.144,220.633,188400.0,1981.0,1.0514862,42.0,614.0,0.11,5.06,6.351318,
524,01/2010,179593.0,249.144,220.633,188400.0,1981.0,1.0514862,42.0,614.0,0.11,4.99,6.351318,
522,01/2010,179593.0,249.144,220.633,188400.0,1981.0,1.0514862,42.0,614.0,0.11,5.09,6.351318,
525,01/2010,179593.0,249.144,220.633,188400.0,1981.0,1.0514862,42.0,614.0,0.11,4.98,6.351318,
577,01/2011,172508.0,251.555,222.803,186200.0,2041.0,1.09613319,45.0,630.0,0.17,4.8,5.706958,
576,01/2011,172508.0,251.555,222.803,186200.0,2041.0,1.09613319,45.0,630.0,0.17,4.74,5.706958,
575,01/2011,172508.0,251.555,222.803,186200.0,2041.0,1.09613319,45.0,630.0,0.17,4.71,5.706958,
574,01/2011,172508.0,251.555,222.803,186200.0,2041.0,1.09613319,45.0,630.0,0.17,4.77,5.706958,
629,01/2012,164812.0,257.714,227.877,181400.0,2090.0,1.152149945,42.0,723.0,0.08,3.98,5.275065,
626,01/2012,164812.0,257.714,227.877,181400.0,2090.0,1.152149945,42.0,723.0,0.08,3.91,5.275065,
628,01/2012,164812.0,257.714,227.877,181400.0,2090.0,1.152149945,42.0,723.0,0.08,3.88,5.275065,
627,01/2012,164812.0,257.714,227.877,181400.0,2090.0,1.152149945,42.0,723.0,0.08,3.89,5.275065,
679,01/2013,170619.0,264.7,232.229,176700.0,2107.0,1.192416525,42.0,888.0,0.14,3.4,5.030038,
682,01/2013,170619.0,264.7,232.229,176700.0,2107.0,1.192416525,42.0,888.0,0.14,3.53,5.030038,
681,01/2013,170619.0,264.7,232.229,176700.0,2107.0,1.192416525,42.0,888.0,0.14,3.42,5.030038,
680,01/2013,170619.0,264.7,232.229,176700.0,2107.0,1.192416525,42.0,888.0,0.14,3.38,5.030038,
678,01/2013,170619.0,264.7,232.229,176700.0,2107.0,1.192416525,42.0,888.0,0.14,3.34,5.030038,
733,01/2014,185131.0,272.317,235.961,175700.0,2127.0,1.210586227,44.0,888.0,0.07,4.39,4.747875,
734,01/2014,185131.0,272.317,235.961,175700.0,2127.0,1.210586227,44.0,888.0,0.07,4.32,4.747875,
732,01/2014,185131.0,272.317,235.961,175700.0,2127.0,1.210586227,44.0,888.0,0.07,4.41,4.747875,
731,01/2014,185131.0,272.317,235.961,175700.0,2127.0,1.210586227,44.0,888.0,0.07,4.51,4.747875,
730,01/2014,185131.0,272.317,235.961,175700.0,2127.0,1.210586227,44.0,888.0,0.07,4.53,4.747875,
783,01/2015,193126.0,281.572,239.811,178600.0,2149.0,1.20324748,44.0,1085.0,0.11,3.73,4.512159,
784,01/2015,193126.0,281.572,239.811,178600.0,2149.0,1.20324748,44.0,1085.0,0.11,3.66,4.512159,
785,01/2015,193126.0,281.572,239.811,178600.0,2149.0,1.20324748,44.0,1085.0,0.11,3.63,4.512159,
786,01/2015,193126.0,281.572,239.811,178600.0,2149.0,1.20324748,44.0,1085.0,0.11,3.66,4.512159,
836,01/2016,203052.0,292.004,244.955,184700.0,2197.0,1.189496481,44.0,1092.0,0.34,3.92,4.428295,
835,01/2016,203052.0,292.004,244.955,184700.0,2197.0,1.189496481,44.0,1092.0,0.34,3.97,4.428295,
837,01/2016,203052.0,292.004,244.955,184700.0,2197.0,1.189496481,44.0,1092.0,0.34,3.81,4.428295,
838,01/2016,203052.0,292.004,244.955,184700.0,2197.0,1.189496481,44.0,1092.0,0.34,3.79,4.428295,
890,01/2017,214799.0,303.467,250.467,193500.0,2279.0,1.177777778,45.0,1190.0,0.65,4.19,4.302988,
889,01/2017,214799.0,303.467,250.467,193500.0,2279.0,1.177777778,45.0,1190.0,0.65,4.09,4.302988,
888,01/2017,214799.0,303.467,250.467,193500.0,2279.0,1.177777778,45.0,1190.0,0.65,4.12,4.302988,
887,01/2017,214799.0,303.467,250.467,193500.0,2279.0,1.177777778,45.0,1190.0,0.65,4.2,4.302988,
941,01/2018,228927.0,314.788,255.072,204900.0,2375.0,1.159102001,46.0,1301.0,1.41,4.04,4.182502,
940,01/2018,228927.0,314.788,255.072,204900.0,2375.0,1.159102001,46.0,1301.0,1.41,3.99,4.182502,
939,01/2018,228927.0,314.788,255.072,204900.0,2375.0,1.159102001,46.0,1301.0,1.41,3.95,4.182502,
942,01/2018,228927.0,314.788,255.072,204900.0,2375.0,1.159102001,46.0,1301.0,1.41,4.15,4.182502,
994,01/2019,242334.0,325.597,260.534,217500.0,2471.0,1.136091954,47.0,1232.0,2.4,4.45,4.150404,
995,01/2019,242334.0,325.597,260.534,217500.0,2471.0,1.136091954,47.0,1232.0,2.4,4.46,4.150404,
993,01/2019,242334.0,325.597,260.534,217500.0,2471.0,1.136091954,47.0,1232.0,2.4,4.45,4.150404,
991,01/2019,242334.0,325.597,260.534,217500.0,2471.0,1.136091954,47.0,1232.0,2.4,4.51,4.150404,
992,01/2019,242334.0,325.597,260.534,217500.0,2471.0,1.136091954,47.0,1232.0,2.4,4.45,4.150404,
1043,01/2020,251112.0,337.825,266.418,229800.0,2551.0,1.110095735,47.0,1569.0,1.55,3.72,4.086403,
1044,01/2020,251112.0,337.825,266.418,229800.0,2551.0,1.110095735,47.0,1569.0,1.55,3.64,4.086403,
1045,01/2020,251112.0,337.825,266.418,229800.0,2551.0,1.110095735,47.0,1569.0,1.55,3.65,4.086403,
1047,01/2020,251112.0,337.825,266.418,229800.0,2551.0,1.110095735,47.0,1569.0,1.55,3.51,4.086403,
1046,01/2020,251112.0,337.825,266.418,229800.0,2551.0,1.110095735,47.0,1569.0,1.55,3.6,4.086403,
1099,01/2021,274170.0,344.758,270.114,,,0.9,45.0,1602.0,0.09,2.73,3.50548,25.5
1098,01/2021,274170.0,344.758,270.114,,,0.9,45.0,1602.0,0.09,2.77,3.50548,25.5
1097,01/2021,274170.0,344.758,270.114,,,0.9,45.0,1602.0,0.09,2.79,3.50548,25.5
1096,01/2021,274170.0,344.758,270.114,,,0.9,45.0,1602.0,0.09,2.65,3.50548,25.5
1151,01/2022,328698.0,357.737,286.431,,,1.1,,1666.0,0.08,3.55,3.891944,17.1
1149,01/2022,328698.0,357.737,286.431,,,1.1,,1666.0,0.08,3.45,3.891944,17.1
1148,01/2022,328698.0,357.737,286.431,,,1.1,,1666.0,0.08,3.22,3.891944,17.1
1150,01/2022,328698.0,357.737,286.431,,,1.1,,1666.0,0.08,3.56,3.891944,17.1
1173,02/1980,,78.4,77.5,,,,,1350.0,14.13,12.85,,
1174,02/1980,,78.4,77.5,,,,,1350.0,14.13,12.85,,
1175,02/1980,,78.4,77.5,,,,,1350.0,14.13,12.88,,
1176,02/1980,,78.4,77.5,,,,,1350.0,14.13,13.03,,
1177,02/1980,,78.4,77.5,,,,,1350.0,14.13,13.59,,
1229,02/1981,,85.3,85.9,,,,,1246.0,15.93,15.3,,
1228,02/1981,,85.3,85.9,,,,,1246.0,15.93,15.2,,
1227,02/1981,,85.3,85.9,,,,,1246.0,15.93,15.03,,
1226,02/1981,,85.3,85.9,,,,,1246.0,15.93,15.0,,
1280,02/1982,,92.3,93.8,,,,,866.0,14.78,17.66,,
1281,02/1982,,92.3,93.8,,,,,866.0,14.78,17.52,,
1279,02/1982,,92.3,93.8,,,,,866.0,14.78,17.65,,
1278,02/1982,,92.3,93.8,,,,,866.0,14.78,17.56,,
1332,02/1983,,98.5,98.0,,,,,1699.0,8.51,13.07,,
1331,02/1983,,98.5,98.0,,,,,1699.0,8.51,13.06,,
1330,02/1983,,98.5,98.0,,,,,1699.0,8.51,13.06,,
1333,02/1983,,98.5,98.0,,,,,1699.0,8.51,12.98,,
1384,02/1984,,102.9,102.8,,,,,2260.0,9.59,13.19,,
1383,02/1984,,102.9,102.8,,,,,2260.0,9.59,13.23,,
1382,02/1984,,102.9,102.8,,,,,2260.0,9.59,13.26,,
1385,02/1984,,102.9,102.8,,,,,2260.0,9.59,13.25,,
1437,02/1985,,109.2,107.7,,,,,1632.0,8.5,12.94,,
1436,02/1985,,109.2,107.7,,,,,1632.0,8.5,12.9,,
1435,02/1985,,109.2,107.7,,,,,1632.0,8.5,12.91,,
1434,02/1985,,109.2,107.7,,,,,1632.0,8.5,12.93,,
1490,02/1986,,115.6,112.2,,,,,1848.0,7.86,10.51,,
1488,02/1986,,115.6,112.2,,,,,1848.0,7.86,10.8,,
1487,02/1986,,115.6,112.2,,,,,1848.0,7.86,10.85,,
1489,02/1986,,115.6,112.2,,,,,1848.0,7.86,10.68,,
1539,02/1987,,121.7,116.2,,,,,1784.0,6.1,9.06,,
1540,02/1987,,121.7,116.2,,,,,1784.0,6.1,9.09,,
1541,02/1987,,121.7,116.2,,,,,1784.0,6.1,9.11,,
1542,02/1987,,121.7,116.2,,,,,1784.0,6.1,9.07,,
1591,02/1988,,126.3,121.2,,,,,1473.0,6.58,9.94,,
1592,02/1988,,126.3,121.2,,,,,1473.0,6.58,9.84,,
1593,02/1988,,126.3,121.2,,,,,1473.0,6.58,9.92,,
1594,02/1988,,126.3,121.2,,,,,1473.0,6.58,9.87,,
1646,02/1989,,130.9,126.9,,,,,1425.0,9.36,10.78,,
1645,02/1989,,130.9,126.9,,,,,1425.0,9.36,10.69,,
1644,02/1989,,130.9,126.9,,,,,1425.0,9.36,10.56,,
1643,02/1989,,130.9,126.9,,,,,1425.0,9.36,10.55,,
1695,02/1990,,136.0,132.7,,,,,1437.0,8.24,10.17,,
1697,02/1990,,136.0,132.7,,,,,1437.0,8.24,10.1,,
1698,02/1990,,136.0,132.7,,,,,1437.0,8.24,10.31,,
1696,02/1990,,136.0,132.7,,,,,1437.0,8.24,10.21,,
1747,02/1991,,141.5,140.2,,,,,965.0,6.25,9.56,,
1748,02/1991,,141.5,140.2,,,,,965.0,6.25,9.36,,
1749,02/1991,,141.5,140.2,,,,,965.0,6.25,9.25,,
1750,02/1991,,141.5,140.2,,,,,965.0,6.25,9.29,,
1802,02/1992,,145.6,145.4,,,,,1250.0,4.06,8.82,,
1801,02/1992,,145.6,145.4,,,,,1250.0,4.06,8.73,,
1800,02/1992,,145.6,145.4,,,,,1250.0,4.06,8.67,,
1803,02/1992,,145.6,145.4,,,,,1250.0,4.06,8.83,,
1852,02/1993,,149.1,150.6,,,,,1210.0,3.03,7.8,,
1853,02/1993,,149.1,150.6,,,,,1210.0,3.03,7.75,,
1854,02/1993,,149.1,150.6,,,,,1210.0,3.03,7.65,,
1855,02/1993,,149.1,150.6,,,,,1210.0,3.03,7.53,,
1905,02/1994,,152.8,154.8,,,,,1337.0,3.25,7.21,,
1904,02/1994,,152.8,154.8,,,,,1337.0,3.25,6.97,,
1906,02/1994,,152.8,154.8,,,,,1337.0,3.25,7.11,,
1907,02/1994,,152.8,154.8,,,,,1337.0,3.25,7.32,,
1959,02/1995,,156.4,159.4,,,,,1316.0,5.92,8.73,,
1957,02/1995,,156.4,159.4,,,,,1316.0,5.92,8.8,,
1958,02/1995,,156.4,159.4,,,,,1316.0,5.92,8.84,,
1956,02/1995,,156.4,159.4,,,,,1316.0,5.92,8.94,,
2010,02/1996,,160.4,164.0,,,,,1491.0,5.22,6.94,,
2009,02/1996,,160.4,164.0,,,,,1491.0,5.22,7.02,,
2008,02/1996,,160.4,164.0,,,,,1491.0,5.22,7.02,,
2011,02/1996,,160.4,164.0,,,,,1491.0,5.22,7.32,,
2062,02/1997,,164.8,168.1,,,,,1486.0,5.19,7.65,,
2063,02/1997,,164.8,168.1,,,,,1486.0,5.19,7.56,,
2064,02/1997,,164.8,168.1,,,,,1486.0,5.19,7.65,,
2061,02/1997,,164.8,168.1,,,,,1486.0,5.19,7.74,,
2115,02/1998,,169.9,171.9,,,,,1584.0,5.51,6.99,,
2114,02/1998,,169.9,171.9,,,,,1584.0,5.51,7.06,,
2113,02/1998,,169.9,171.9,,,,,1584.0,5.51,7.03,,
2116,02/1998,,169.9,171.9,,,,,1584.0,5.51,7.09,,
2166,02/1999,,175.6,175.6,,,,,1670.0,4.76,6.77,,
2168,02/1999,,175.6,175.6,,,,,1670.0,4.76,6.89,,
2167,02/1999,,175.6,175.6,,,,,1670.0,4.76,6.82,,
2165,02/1999,,175.6,175.6,,,,,1670.0,4.76,6.75,,
7,02/2000,128743.0,181.5,179.4,,,,,1737.0,5.73,8.31,,
6,02/2000,128743.0,181.5,179.4,,,,,1737.0,5.73,8.38,,
5,02/2000,128743.0,181.5,179.4,,,,,1737.0,5.73,8.36,,
4,02/2000,128743.0,181.5,179.4,,,,,1737.0,5.73,8.25,,
56,02/2001,137850.0,188.9,184.4,,,,,1625.0,5.49,7.09,,
59,02/2001,137850.0,188.9,184.4,,,,,1625.0,5.49,7.12,,
58,02/2001,137850.0,188.9,184.4,,,,,1625.0,5.49,7.01,,
57,02/2001,137850.0,188.9,184.4,,,,,1625.0,5.49,6.98,,
111,02/2002,147292.0,197.7,189.1,,,,,1829.0,1.74,6.81,,
108,02/2002,147292.0,197.7,189.1,,,,,1829.0,1.74,7.02,,
109,02/2002,147292.0,197.7,189.1,,,,,1829.0,1.74,6.88,,
110,02/2002,147292.0,197.7,189.1,,,,,1829.0,1.74,6.86,,
163,02/2003,158047.0,203.7,192.5,,,,,1629.0,1.26,5.84,,
164,02/2003,158047.0,203.7,192.5,,,,,1629.0,1.26,5.79,,
162,02/2003,158047.0,203.7,192.5,,,,,1629.0,1.26,5.86,,
161,02/2003,158047.0,203.7,192.5,,,,,1629.0,1.26,5.88,,
216,02/2004,170843.0,208.8,194.9,,,,,1846.0,1.01,5.58,,
213,02/2004,170843.0,208.8,194.9,,,,,1846.0,1.01,5.72,,
214,02/2004,170843.0,208.8,194.9,,,,,1846.0,1.01,5.66,,
215,02/2004,170843.0,208.8,194.9,,,,,1846.0,1.01,5.58,,
265,02/2005,190047.0,215.0,199.4,,,,,2207.0,2.5,5.63,,
268,02/2005,190047.0,215.0,199.4,,,,,2207.0,2.5,5.69,,
266,02/2005,190047.0,215.0,199.4,,,,,2207.0,2.5,5.57,,
267,02/2005,190047.0,215.0,199.4,,,,,2207.0,2.5,5.62,,
318,02/2006,211329.0,221.6,203.6,,,,,2119.0,4.49,6.24,,
319,02/2006,211329.0,221.6,203.6,,,,,2119.0,4.49,6.28,,
317,02/2006,211329.0,221.6,203.6,,,,,2119.0,4.49,6.23,,
320,02/2006,211329.0,221.6,203.6,,,,,2119.0,4.49,6.26,,
369,02/2007,218523.0,231.739,209.135,,,,,1480.0,5.26,6.34,,
370,02/2007,218523.0,231.739,209.135,,,,,1480.0,5.26,6.28,,
371,02/2007,218523.0,231.739,209.135,,,,,1480.0,5.26,6.3,,
372,02/2007,218523.0,231.739,209.135,,,,,1480.0,5.26,6.22,,
425,02/2008,210469.0,240.325,213.939,,,,,1103.0,2.98,6.24,,
423,02/2008,210469.0,240.325,213.939,,,,,1103.0,2.98,5.72,,
424,02/2008,210469.0,240.325,213.939,,,,,1103.0,2.98,6.04,,
422,02/2008,210469.0,240.325,213.939,,,,,1103.0,2.98,5.67,,
476,02/2009,189128.0,248.305,217.792,,,,,582.0,0.22,5.04,,
475,02/2009,189128.0,248.305,217.792,,,,,582.0,0.22,5.16,,
474,02/2009,189128.0,248.305,217.792,,,,,582.0,0.22,5.25,,
477,02/2009,189128.0,248.305,217.792,,,,,582.0,0.22,5.07,,
529,02/2010,179485.0,249.017,220.731,,,,,604.0,0.13,5.05,,
526,02/2010,179485.0,249.017,220.731,,,,,604.0,0.13,5.01,,
528,02/2010,179485.0,249.017,220.731,,,,,604.0,0.13,4.93,,
527,02/2010,179485.0,249.017,220.731,,,,,604.0,0.13,4.97,,
579,02/2011,171643.0,251.829,223.213,,,,,517.0,0.16,5.05,,
580,02/2011,171643.0,251.829,223.213,,,,,517.0,0.16,5.0,,
581,02/2011,171643.0,251.829,223.213,,,,,517.0,0.16,4.95,,
578,02/2011,171643.0,251.829,223.213,,,,,517.0,0.16,4.81,,
633,02/2012,164701.0,258.184,228.034,,,,,704.0,0.1,3.95,,
